Code_Commune,Code_departement,Code_region,prixm2, commune, departement,region,Year,price_predicted
289,1,84,1200,PERONNAS,ain,Vaucluse,2018,6598.7927158327075
343,1,84,1252,SAINT-CYR-SUR-MENTHON,ain,Vaucluse,2018,7212.698115719482
343,1,84,1252,SAINT-CYR-SUR-MENTHON,ain,Vaucluse,2018,7212.698115719482
343,1,84,1252,SAINT-CYR-SUR-MENTHON,ain,Vaucluse,2018,7212.698115719482
159,1,84,2100,SAINT-DENIS-LES-BOURG,ain,Vaucluse,2018,5120.872308698017
344,1,84,1670,SAINT-DENIS-LES-BOURG,ain,Vaucluse,2018,7224.06673423585
344,1,84,1670,SAINT-DENIS-LES-BOURG,ain,Vaucluse,2018,7224.06673423585
344,1,84,1670,SAINT-DENIS-LES-BOURG,ain,Vaucluse,2018,7224.06673423585
344,1,84,1670,SAINT-DENIS-LES-BOURG,ain,Vaucluse,2018,7224.06673423585
426,1,84,2060,TREFFORT-CUISIAT,ain,Vaucluse,2018,8156.2934525824385
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
285,9,76,1153,SEIX,Ariège,occitanie,2018,6424.141185021843
119,9,76,2100,BOSC-BERENGER,Ariège,occitanie,2018,4536.9505112959305
95,9,76,1127,CHARNAT,Ariège,occitanie,2018,4264.103666901821
214,9,76,1890,POUZOLLES,Ariège,occitanie,2018,5616.969270355883
153,7,84,1557,MAYRES,Ardèche,Vaucluse,2018,5044.49289750203
153,7,84,1557,MAYRES,Ardèche,Vaucluse,2018,5044.49289750203
153,7,84,1557,MAYRES,Ardèche,Vaucluse,2018,5044.49289750203
153,7,84,1557,MAYRES,Ardèche,Vaucluse,2018,5044.49289750203
93,7,84,1780,BERTEAUCOURT-LES-DAMES,Ardèche,Vaucluse,2018,4362.375786516815
50,7,84,2109,BEAUCHALOT,Ardèche,Vaucluse,2018,3873.525190310669
53,7,84,1798,CHANDOLA,Ardèche,Vaucluse,2018,3907.6310458600055
339,7,84,1557,VESSEAUX,Ardèche,Vaucluse,2018,7159.0559415563475
339,7,84,1557,VESSEAUX,Ardèche,Vaucluse,2018,7159.0559415563475
264,7,84,1905,SAINT-MARCEL-D'ARDECHE,Ardèche,Vaucluse,2018,6306.4095528248
264,7,84,1905,SAINT-MARCEL-D'ARDECHE,Ardèche,Vaucluse,2018,6306.4095528248
264,7,84,1905,SAINT-MARCEL-D'ARDECHE,Ardèche,Vaucluse,2018,6306.4095528248
283,7,84,1698,SAINT-PIERRE-LA-ROCHE,Ardèche,Vaucluse,2018,6522.413304636837
103,6,93,2508,ROQUEBILLIERE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4610.495893722866
103,6,93,1990,ROQUEBILLIERE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4610.495893722866
103,6,93,1990,ROQUEBILLIERE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4610.495893722866
91,6,93,4200,PEILLE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4474.072471525753
91,6,93,4200,PEILLE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4474.072471525753
91,6,93,4200,PEILLE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4474.072471525753
91,6,93,4200,PEILLE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4474.072471525753
91,6,93,4200,PEILLE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4474.072471525753
103,6,93,2508,ROQUEBILLIERE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4610.495893722866
103,6,93,2508,ROQUEBILLIERE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4610.495893722866
103,6,93,2508,ROQUEBILLIERE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4610.495893722866
103,6,93,2508,ROQUEBILLIERE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4610.495893722866
103,6,93,2508,ROQUEBILLIERE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4610.495893722866
103,6,93,2508,ROQUEBILLIERE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4610.495893722866
103,6,93,2508,ROQUEBILLIERE,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2018,4610.495893722866
145,11,76,998,ESSEAUX,aude,occitanie,2018,4829.812026023748
145,11,76,998,ESSEAUX,aude,occitanie,2018,4829.812026023748
145,11,76,998,ESSEAUX,aude,occitanie,2018,4829.812026023748
145,11,76,998,ESSEAUX,aude,occitanie,2018,4829.812026023748
145,11,76,998,ESSEAUX,aude,occitanie,2018,4829.812026023748
262,11,76,856,NARBONNE,aude,occitanie,2018,6159.940392444958
370,11,76,1005,SALLES-D'AUDE,aude,occitanie,2018,7387.751192218508
370,11,76,1005,SALLES-D'AUDE,aude,occitanie,2018,7387.751192218508
370,11,76,1005,SALLES-D'AUDE,aude,occitanie,2018,7387.751192218508
370,11,76,1005,SALLES-D'AUDE,aude,occitanie,2018,7387.751192218508
370,11,76,1005,SALLES-D'AUDE,aude,occitanie,2018,7387.751192218508
203,11,76,1300,LEZIGNAN-CORBIERES,aude,occitanie,2018,5489.191899976111
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
85,12,76,970,CRESPIN,Aveyron,occitanie,2018,4146.333631688962
102,12,76,1100,FLAVIN,Aveyron,occitanie,2018,4339.60014646803
102,12,76,1100,FLAVIN,Aveyron,occitanie,2018,4339.60014646803
214,12,76,897,SAINT-CHELY-D'AUBRAC,Aveyron,occitanie,2018,5612.885420307168
214,12,76,897,SAINT-CHELY-D'AUBRAC,Aveyron,occitanie,2018,5612.885420307168
214,12,76,897,SAINT-CHELY-D'AUBRAC,Aveyron,occitanie,2018,5612.885420307168
214,12,76,897,SAINT-CHELY-D'AUBRAC,Aveyron,occitanie,2018,5612.885420307168
276,12,76,1164,TAURIAC-DE-NAUCELLE,Aveyron,occitanie,2018,6317.739768325351
276,12,76,1164,TAURIAC-DE-NAUCELLE,Aveyron,occitanie,2018,6317.739768325351
276,12,76,1164,TAURIAC-DE-NAUCELLE,Aveyron,occitanie,2018,6317.739768325351
209,12,76,900,SAINT-AMANS-DES-COTS,Aveyron,occitanie,2018,5556.042327725096
209,12,76,900,SAINT-AMANS-DES-COTS,Aveyron,occitanie,2018,5556.042327725096
137,12,76,490,MANHAC,Aveyron,occitanie,2018,4737.501794542768
128,12,76,1380,LESCURE-JAOUL,Aveyron,occitanie,2018,4635.184227894992
28,13,93,2359,LA CIOTAT,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3748.3205215441994
28,13,93,2359,LA CIOTAT,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3748.3205215441994
28,13,93,2359,LA CIOTAT,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3748.3205215441994
28,13,93,2359,LA CIOTAT,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3748.3205215441994
28,13,93,2359,LA CIOTAT,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3748.3205215441994
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
437,14,28,1272,MONDEVILLE,Calvados ,Normandie,2018,7435.644043078064
437,14,28,1272,MONDEVILLE,Calvados ,Normandie,2018,7435.644043078064
341,14,28,1404,IFS,Calvados ,Normandie,2018,6344.256665501627
341,14,28,1404,IFS,Calvados ,Normandie,2018,6344.256665501627
94,15,84,1087,LAROQUEBROU,cantal,Auvergne-Rhône-Alpes,2018,4362.854138236609
94,15,84,1087,LAROQUEBROU,cantal,Auvergne-Rhône-Alpes,2018,4362.854138236609
56,15,84,522,CRANDELLES,cantal,Auvergne-Rhône-Alpes,2018,3930.8466346126515
56,15,84,522,CRANDELLES,cantal,Auvergne-Rhône-Alpes,2018,3930.8466346126515
196,15,84,1176,SAINT-MAMET-LA-SALVETAT,cantal,Auvergne-Rhône-Alpes,2018,5522.4532269116025
196,15,84,1176,SAINT-MAMET-LA-SALVETAT,cantal,Auvergne-Rhône-Alpes,2018,5522.4532269116025
196,15,84,1176,SAINT-MAMET-LA-SALVETAT,cantal,Auvergne-Rhône-Alpes,2018,5522.4532269116025
14,15,84,1282,AURILLAC,cantal,Auvergne-Rhône-Alpes,2018,3453.3646569229895
14,15,84,1282,AURILLAC,cantal,Auvergne-Rhône-Alpes,2018,3453.3646569229895
